Pick Random GM
Alekhine, Alexander
Anand, Viswanathan
Andreikin, Dmitry
Aronian, Levon
Artemiev, Vladislav
Botvinnik, Mikhail
Capablanca, Jose Raul
Carlsen, Magnus
Caruana, Fabiano
Ding Liren
Dubov, Daniil
Duda, Jan-Krzysztof
Firouzja, Alireza
Fischer, Robert James
Gelfand, Boris
Giri, Anish
Grischuk, Alexander
Harikrishna, Pentala
Ivanchuk, Vassily
Karpov, Anatoly
Karjakin, Sergey
Kasparov, Garry
Kortschnoj, Viktor
Leko, Peter
Mamedyarov, Shakhriyar
Najdorf, Miguel
Nakamura, Hikaru
Nepomniachtchi, Ian
Nimzowitsch, Aron
Petrosian, Tigran
Polgar, Judit
Radjabov, Teimour
Rapport, Richard
Seirawan, Yasser
Shirov, Alexei
Spassky, Boris Vasilievich
Svidler, Peter
Tal, Mikhail
Vachier-Lagrave, Maxime
